,elements,temp,conv,comp,filename,flow,support,bet,pressure,selectivity,title
0,In2O3,533.15,83.9,,Efficient hydrogenation of CO2 to methanol over Pd/In2O3/SBA-15 catalysts ,50.0|ml/min),SBA,,,,Efficient hydrogenation of CO2 to methanol over Pd/In2O3/SBA-15 catalysts 
1,In2O3,533.15,83.9,,Efficient hydrogenation of CO2 to methanol over Pd/In2O3/SBA-15 catalysts ,50.0|ml/min),SBA,,,,Efficient hydrogenation of CO2 to methanol over Pd/In2O3/SBA-15 catalysts 
0,TiO2TiO2Ru,598.15,80.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,TiO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
1,TiO2TiO2Ru,598.15,80.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,TiO2,,1|bar,100|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
2,TiO2TiO2Ru,573.15,65.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,TiO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
3,TiO2TiO2Ru,573.15,65.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,TiO2,,1|bar,100|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
4,CeRu,723.15,55.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
5,CeRu,723.15,55.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,99|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
6,Al2O3Ru,623.15,85.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,Al2O3,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
7,Al2O3Ru,623.15,85.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,Al2O3,,1|bar,85|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
8,CeO2Ru,623.15,75.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
9,CeO2Ru,623.15,75.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,99|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
10,CeO2Ru,573.15,83.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
11,CeO2Ru,573.15,83.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,99|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
12,Rh,823.15,98.9,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
13,Rh,823.15,98.9,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,81.2|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
14,Al2O3Rh,298.15,25.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,Al2O3,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
15,Al2O3Rh,298.15,25.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,Al2O3,,1|bar,100|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
16,Pd,15273.15,56.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,40|bar,,A review of recent catalyst advances in CO2 methanation processes 
17,Pd,15273.15,56.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,40|bar,97.3|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
18,NiCeO2,623.15,93.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
19,NiCeO2,623.15,93.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,100|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
20,NiZrO2,623.15,79.1,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,ZrO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
21,NiZrO2,623.15,79.1,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,ZrO2,,1|bar,76.5|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
22,NiCeO2ZrO2,548.15,55.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2ZrO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
23,NiCeO2ZrO2,548.15,55.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2ZrO2,,1|bar,99.8|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
24,NiCeO2ZrO2,623.15,58.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2ZrO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
25,NiCeO2ZrO2,623.15,58.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2ZrO2,,1|bar,97.5|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
26,Ni,573.15,64.1,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
27,Ni,573.15,64.1,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,99.9|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
28,NiCeO2,653.15,85.6,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
29,NiCeO2,653.15,85.6,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,CeO2,,1|bar,99.8|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
30,MgONi,623.15,67.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,MgOSiO2,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
31,MgONi,623.15,67.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,MgOSiO2,,1|bar,98|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
32,NiLa2O3,593.15,90.7,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,SBALa2O3,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
33,NiLa2O3,593.15,90.7,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,SBALa2O3,,1|bar,99.5|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
34,CoZrO2,673.15,92.5,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,ZrO2,,30|bar,,A review of recent catalyst advances in CO2 methanation processes 
35,CoZrO2,673.15,92.5,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,ZrO2,,30|bar,99.9|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
36,CoZrO2,673.15,85.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,ZrO2,,30|bar,,A review of recent catalyst advances in CO2 methanation processes 
37,CoZrO2,673.15,85.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,ZrO2,,30|bar,99|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
38,Co3O4,503.15,70.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,Co3O4,,10|bar,,A review of recent catalyst advances in CO2 methanation processes 
39,Co3O4,503.15,70.0,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,Co3O4,,10|bar,99|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
40,KCo,553.15,48.9,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,,A review of recent catalyst advances in CO2 methanation processes 
41,KCo,553.15,48.9,{'CO2': '4.0'},A review of recent catalyst advances in CO2 methanation processes ,,,,1|bar,100|CH4selectivity(%),A review of recent catalyst advances in CO2 methanation processes 
0,MgAlCuZnOZrO2,523.0,78.3,{'H2': '1.0'},Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) ,2000.0|h−1.,ZnOZrO2,"['152.3', 'm2g−1']",,,Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) 
1,MgAlCuZnOZrO2,523.0,4.9,{'H2': '1.0'},Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) ,2000.0|h−1.,ZnOZrO2,"['152.3', 'm2g−1']",3.0|Mpa,,Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) 
2,MgAlCuZnOZrO2,523.0,4.9,{'H2': '1.0'},Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) ,2000.0|h−1.,ZnOZrO2,"['152.3', 'm2g−1']",3.0|Mpa,78.3|SMeOH(%),Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) 
3,MgAlCuZnOZrO2,523.0,7.5,{'H2': '1.0'},Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) ,2000.0|h−1.,ZnOZrO2,"['152.3', 'm2g−1']",3.0|Mpa,,Improved methanol yield and selectivity from CO2 hydrogenation using a novel Cu-ZnO-ZrO2 catalyst supported on Mg-Al layered double hydroxide (LDH) 
