,elements,temp,conv,comp,filename,flow,support,bet,pressure,selectivity,title
0,,,99.9,['41.9'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
1,,,99.9,['41.9'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,10.3|CO,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
2,,,99.9,['41.9'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,7.9|CO2,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
3,,,99.9,['41.9'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,0.03|CH4,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
4,,,96.6,['42.5'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
5,,,96.6,['42.5'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,10.0|CO,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
6,,,96.6,['42.5'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,8.3|CO2,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
7,,,96.6,['42.5'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,0.60|CH4,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
8,,,98.0,['40.2'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
9,,,98.0,['40.2'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,9.4|CO,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
10,,,98.0,['40.2'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,8.5|CO2,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
11,,,98.0,['40.2'],Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor ,,,,,0.36|CH4,Hydrogen from natural gas: part I—autothermal reforming in an integrated fuel processor 
0,,773.15,17.0,{'water': '5.0'},Development of a catalytic hollow fibre membrane micro-reactor for high purity H2 production ,80000.0|cm3g−1h−1.,,,,,Development of a catalytic hollow fibre membrane micro-reactor for high purity H2 production 
1,,773.15,45.0,{'water': '5.0'},Development of a catalytic hollow fibre membrane micro-reactor for high purity H2 production ,80000.0|cm3g−1h−1.,,,,,Development of a catalytic hollow fibre membrane micro-reactor for high purity H2 production 
2,,773.15,43.0,{'water': '5.0'},Development of a catalytic hollow fibre membrane micro-reactor for high purity H2 production ,80000.0|cm3g−1h−1.,,,,,Development of a catalytic hollow fibre membrane micro-reactor for high purity H2 production 
0,Au,773.15,86.0,"{'CO': '5.0', 'H2O': '20.0'}",Studies on Au catalysts for water gas shift reaction ,0.333|NLmin−1gcat−1.,ceria,,,,Studies on Au catalysts for water gas shift reaction 
0,Al2O3CuOZnO,523.15,50.0,{'H2': '7.5'},Direct synthesis of dimethyl ether from syngas over mechanical mixtures of CuO/ZnO/Al2O3 and γ-Al2O3: Process optimization and kinetic modelling ,,ZnOAl2O3CuO,"['30', 'mm']",,,Direct synthesis of dimethyl ether from syngas over mechanical mixtures of CuO/ZnO/Al2O3 and γ-Al2O3: Process optimization and kinetic modelling 
0,Al2O3NiO,943.15,70.0,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,Al2O3NiO,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
1,Ni,643.15,19.9,1.06|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
2,Ni,643.15,19.9,1.06|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,3.2|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
3,Ni,643.15,19.9,1.06|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,3.3|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
4,Ni,643.15,19.9,1.06|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,3.2|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
5,Ni,643.15,19.9,1.06|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,2.6|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
